web_scraper_order,web_scraper_start_url,name,price,location,img_url
"1765127785-1","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons Ladoum","600 000CFA","Mbour, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-ladoum-821121"
"1765127785-2","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","125 000CFA","Guédiawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-817625"
"1765127785-3","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","200 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-816772"
"1765127785-4","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","450 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-816757"
"1765127785-5","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de Tabaski","200 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-de-tabaski-814608"
"1765127785-6","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","100 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-813350"
"1765127785-7","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","200 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-813339"
"1765127785-8","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","200 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-812873"
"1765127785-9","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","500 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-811661"
"1765127785-10","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","700 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-811659"
"1765127785-11","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","200 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-811594"
"1765127785-12","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","650 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-808861"
"1765127785-13","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","700 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-808847"
"1765127785-14","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","700 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-808844"
"1765127785-15","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de race","350 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-de-race-806719"
"1765127785-16","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","400 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-806646"
"1765127785-17","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","250 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-805188"
"1765127785-18","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","200 000CFA","Diamniadio, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-804227"
"1765127785-19","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","300 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-803088"
"1765127785-20","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de Tabaski","200 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-de-tabaski-799765"
"1765127785-21","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de Tabaski","225 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-de-tabaski-799761"
"1765127785-22","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Azawat","175 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-azawat-798367"
"1765127785-23","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Ladoum","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-786617"
"1765127785-24","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons de Tabaski","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-de-tabaski-785715"
