web_scraper_order,web_scraper_start_url,name,price,location,img_url
"1765139763-1","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chatons","Prix sur demande","Gorée, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/chatons-2637004"
"1765139763-2","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oie","100 000CFA","Mbour, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oie-2630503"
"1765139763-3","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oiseau Maknol","Prix sur demande","Kaffrine, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oiseau-maknol-2583338"
"1765139763-4","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies","80 000CFA","Diourbel, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oies-2550824"
"1765139763-5","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Vaches hollandaises","Prix sur demande","Saint Louis, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/vaches-hollandaises-2434087"
"1765139763-6","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Géniteur hollandais Holstein","1 200 000CFA","Mboro, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/geniteur-hollandais-holstein-2430101"
"1765139763-7","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Dindes","Prix sur demande","Mbour, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/dindes-2421638"
"1765139763-8","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Souris blanc","Prix sur demande","Hann Bel-Air, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/souris-blanc-2407511"
"1765139763-9","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Couples Paons","250 000CFA","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/couples-paons-2394305"
"1765139763-10","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chat blanc turc","150 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/chat-blanc-turc-2388043"
